Day,CaptureBlock_ID,SB_ID,Setup_Start_LST,Observation_Start_LST,Observation_End_LST,Band,Night_only,Visibility_window,Duration_hrs
12,20250415143911,DelayCal,5.350555555555557,5.350555555555557,5.600555555555557,l,No,,0.25
12,20250415143911,20241208152210,5.350555555555557,5.600555555555557,10.647222222222224,l,No,4.50-7.25,5.046666666666667
12,20250415195659,DelayCal,10.647222222222224,10.647222222222224,10.897222222222224,l,No,,0.25
12,20250415195659,20241215134449,10.647222222222224,10.897222222222224,16.45416666666667,l,No,9.00-11.00,5.5569444444444445
12,20250416014524,DelayCal,16.45416666666667,16.45416666666667,16.70416666666667,u,No,,0.25
12,20250416014524,20241127145201,16.45416666666667,16.70416666666667,22.86138888888889,u,No,13.88-17.50,6.157222222222222
12,20250416080950,DelayCal,22.86138888888889,22.86138888888889,23.11138888888889,l,No,,0.25
12,20250416080950,20250217151420,22.86138888888889,23.11138888888889,0.10638888888889042,l,No,23.00-3.00,0.9950000000000019
13,20250416092432,DelayCal,0.10638888888889042,0.10638888888889042,0.3563888888888904,l,No,,0.25
13,20250416092432,20250217162845,0.10638888888889042,0.3563888888888904,5.03138888888889,l,No,20.75-2.75,4.675
13,20250416142002,DelayCal,5.03138888888889,5.03138888888889,5.28138888888889,l,No,,0.25
13,20250416142002,20241208152250,5.03138888888889,5.28138888888889,10.328055555555558,l,No,4.50-7.25,5.046666666666667
13,20250416193750,DelayCal,10.328055555555558,10.328055555555558,10.578055555555558,l,No,,0.25
13,20250416193750,20241129194830,10.328055555555558,10.578055555555558,16.468333333333334,l,No,9.92-10.58,5.8902777777777775
13,20250417014615,DelayCal,16.468333333333334,16.468333333333334,16.718333333333334,u,No,,0.25
13,20250417014615,20250121085458,16.468333333333334,16.718333333333334,22.87027777777778,u,No,14.00-17.33,6.151944444444444
13,20250417081022,DelayCal,22.87027777777778,22.87027777777778,23.12027777777778,l,No,,0.25
13,20250417081022,20241120193350,22.87027777777778,23.12027777777778,0.10638888888889042,l,No,22.73-23.65,0.9861111111111107
14,20250417092432,DelayCal,0.10638888888889042,0.10638888888889042,0.3563888888888904,l,No,,0.25
14,20250417092432,20241120193350,0.10638888888889042,0.3563888888888904,5.809444444444447,l,No,0.11-23.65,5.453055555555556
14,20250417150643,DelayCal,5.809444444444447,5.809444444444447,6.059444444444447,l,No,,0.25
14,20250417150643,20250110142924,5.809444444444447,6.059444444444447,12.096111111111114,l,No,6.00-9.75,6.036666666666667
14,20250417212355,DelayCal,12.096111111111114,12.096111111111114,12.346111111111114,l,No,,0.25
14,20250417212355,20241121033022,12.096111111111114,12.346111111111114,20.175000000000004,l,No,11.67-13.42,7.828888888888889
14,20250418052839,DelayCal,20.175000000000004,20.175000000000004,20.425000000000004,l,No,,0.25
14,20250418052839,20241120193350,20.175000000000004,20.425000000000004,0.10638888888889042,l,No,0.11-23.65,3.681388888888886
15,20250418092432,DelayCal,0.10638888888889042,0.10638888888889042,0.3563888888888904,l,No,,0.25
15,20250418092432,20241120195857,0.10638888888889042,0.3563888888888904,4.961666666666668,l,No,0.11-2.83,4.605277777777777
15,20250418141551,DelayCal,4.961666666666668,4.961666666666668,5.211666666666668,l,No,,0.25
15,20250418141551,20241208152010,4.961666666666668,5.211666666666668,10.255277777777778,l,No,4.50-7.25,5.043611111111111
15,20250418193328,DelayCal,10.255277777777778,10.255277777777778,10.505277777777778,l,No,,0.25
15,20250418193328,20241124214839,10.255277777777778,10.505277777777778,17.969722222222224,l,No,9.50-12.00,7.464444444444444
15,20250419031620,DelayCal,17.969722222222224,17.969722222222224,18.219722222222224,l,No,,0.25
15,20250419031620,20241206083240,17.969722222222224,18.219722222222224,0.10638888888888687,l,No,17.00-18.92,5.886666666666665
16,20250419092432,DelayCal,0.10638888888888687,0.10638888888888687,0.35638888888888687,l,No,,0.25
16,20250419092432,20250217150208,0.10638888888888687,0.35638888888888687,4.841388888888887,l,No,23.00-0.50,4.485
16,20250419140838,DelayCal,4.841388888888887,4.841388888888887,5.091388888888887,l,No,,0.25
16,20250419140838,20241202191111,4.841388888888887,5.091388888888887,10.124444444444443,l,No,4.50-7.25,5.033055555555555
16,20250419192537,DelayCal,10.124444444444443,10.124444444444443,10.374444444444443,l,No,,0.25
16,20250419192537,20241129194819,10.124444444444443,10.374444444444443,16.264444444444443,l,No,9.92-10.58,5.89
16,20250420013401,DelayCal,16.264444444444443,16.264444444444443,16.514444444444443,l,No,,0.25
16,20250420013401,20241128081006,16.264444444444443,16.514444444444443,22.559444444444445,l,No,12.50-17.50,6.045
16,20250420075143,DelayCal,22.559444444444445,22.559444444444445,22.809444444444445,l,No,,0.25
16,20250420075143,20241203211348,22.559444444444445,22.809444444444445,0.10638888888889042,l,No,22.50-23.50,1.2969444444444447
17,20250420092432,DelayCal,0.10638888888889042,0.10638888888889042,0.3563888888888904,l,No,,0.25
17,20250420092432,20250217144837,0.10638888888889042,0.3563888888888904,4.7986111111111125,l,No,23.00-3.00,4.442222222222222
17,20250420140604,DelayCal,4.7986111111111125,4.7986111111111125,5.0486111111111125,s,No,,0.25
17,20250420140604,20250212222826,4.7986111111111125,5.0486111111111125,9.84888888888889,s,No,1.50-6.25,4.800277777777778
17,20250420190905,DelayCal,9.84888888888889,9.84888888888889,10.09888888888889,l,Yes,,0.25
17,20250420190905,20241216080641,9.84888888888889,10.09888888888889,18.67638888888889,l,Yes,8.17-10.25,8.5775
17,20250421035844,DelayCal,18.67638888888889,18.67638888888889,18.92638888888889,l,No,,0.25
17,20250421035844,20250217144807,18.67638888888889,18.92638888888889,23.660833333333336,l,No,16.75-23.00,4.734444444444445
18,20250421092748,DelayCal,0.16083333333333627,0.16083333333333627,0.41083333333333627,l,No,,0.25
18,20250421092748,20241203211212,0.16083333333333627,0.41083333333333627,4.342222222222225,l,No,0.25-1.25,3.931388888888889
18,20250421133841,DelayCal,4.342222222222225,4.342222222222225,4.592222222222225,l,No,,0.25
18,20250421133841,20241215101327,4.342222222222225,4.592222222222225,12.597777777777782,l,No,3.92-4.67,8.005555555555556
18,20250421215401,DelayCal,12.597777777777782,12.597777777777782,12.847777777777782,l,No,,0.25
