Day,Observation_ID,Start_LST,End_LST,Band,Night_only,Visibility_window
10,20241129174041,21.28416666666667,22.335000000000004,s,No,15.38-21.50
10,20250217172130,22.335000000000004,7.105427357601002e-15,l,No,17.00-22.50
11,20250217172130,7.105427357601002e-15,2.611388888888894,l,No,0.00-22.50
11,20241202085452,2.611388888888894,7.82555555555556,s,No,1.50-4.00
11,20241203214955,7.82555555555556,8.778611111111116,l,No,3.82-11.25
11,20241203214955,8.778611111111116,9.731666666666673,l,No,3.82-11.25
11,20241203214955,9.731666666666673,10.684722222222229,l,No,3.82-11.25
11,20241203214955,10.684722222222229,11.637777777777785,l,No,3.82-11.25
11,20241204044123,11.637777777777785,12.61972222222223,l,No,5.67-12.00
11,20241120095739,12.61972222222223,22.61333333333334,l,No,10.67-14.75
11,20250217172800,22.61333333333334,7.105427357601002e-15,l,No,18.00-23.00
12,20250217172800,7.105427357601002e-15,3.2250000000000068,l,No,0.00-23.00
12,20241202085157,3.2250000000000068,8.439166666666672,u,No,1.50-4.00
12,20250116184257,8.439166666666672,13.92194444444445,l,No,4.00-8.50
12,20250218120245,13.92194444444445,17.577777777777783,l,Yes,11.00-15.00
12,20250203212730,17.577777777777783,18.633611111111115,s,No,12.00-19.00
12,20250203212730,18.633611111111115,19.689444444444447,s,No,12.00-19.00
12,20241129174319,19.689444444444447,21.491944444444446,s,No,15.38-21.00
12,20241217111738,21.491944444444446,21.77027777777778,l,No,18.00-22.00
12,20241217111738,21.77027777777778,22.04861111111111,l,No,18.00-22.00
12,20250217172800,22.04861111111111,0.0,l,No,0.00-23.00
13,20250123183320,0.0,7.364166666666667,l,No,20.00-3.00
13,20241126083325,7.364166666666667,11.419166666666666,l,No,4.00-8.42
13,20241204042834,11.419166666666666,12.406388888888888,l,No,6.17-12.17
13,20241206140303,12.406388888888888,21.386388888888888,s,No,10.50-12.50
13,20241124212857,21.386388888888888,0.0,l,No,18.50-22.00
14,20241124212857,0.0,4.698888888888888,l,No,0.00-22.00
14,20250120041738,4.698888888888888,6.0666666666666655,l,No,3.00-7.00
14,20250206220416,6.0666666666666655,9.0125,l,No,2.75-6.75
14,20241204042444,9.0125,10.025555555555554,l,No,5.17-10.67
14,20241204042444,10.025555555555554,11.03861111111111,l,No,5.17-10.67
14,20241203213942,11.03861111111111,12.018888888888887,l,No,6.47-12.17
14,20241203213942,12.018888888888887,12.999166666666664,l,No,6.47-12.17
14,20250131234249,12.999166666666664,14.034166666666664,u,No,11.17-14.00
14,20250125155209,14.034166666666664,15.08722222222222,s,No,11.58-15.00
14,20250211161559,15.08722222222222,16.144999999999996,s,No,11.67-15.25
14,20250131154502,16.144999999999996,17.18194444444444,s,No,12.00-19.00
14,20250131154502,17.18194444444444,18.218888888888884,s,No,12.00-19.00
14,20250131154502,18.218888888888884,19.255833333333328,s,No,12.00-19.00
14,20250217152249,19.255833333333328,23.899166666666662,l,No,17.75-20.75
14,20250123164026,23.899166666666662,0.0,l,No,20.00-2.00
15,20250123164026,0.0,7.160277777777774,l,No,0.00-2.00
15,20241208152250,7.160277777777774,12.206944444444442,l,No,4.50-7.25
15,20250206221404,12.206944444444442,15.158888888888887,l,No,7.75-12.33
15,20250215181228,15.158888888888887,16.216944444444444,s,No,11.67-15.25
15,20250128212040,16.216944444444444,17.27111111111111,s,No,12.00-19.00
15,20250128212040,17.27111111111111,18.325277777777778,s,No,12.00-19.00
15,20250128212040,18.325277777777778,19.379444444444445,s,No,12.00-19.00
15,20241122153545,19.379444444444445,0.0,l,No,18.00-20.00
